"No.","Time","Source","Destination","Protocol","Length","Info"
"112","22.423317112","192.168.31.108","192.168.31.1","DNS","89","Standard query 0xd402 AAAA connectivity-check.ubuntu.com"
"113","22.428849073","192.168.31.1","192.168.31.108","DNS","89","Standard query response 0xd402 AAAA connectivity-check.ubuntu.com"
"114","22.430661551","192.168.31.108","192.168.31.1","DNS","89","Standard query 0xc3a5 AAAA connectivity-check.ubuntu.com"
"115","22.433393890","192.168.31.1","192.168.31.108","DNS","89","Standard query response 0xc3a5 AAAA connectivity-check.ubuntu.com"
"116","23.398732185","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.101? Tell 192.168.31.1"
"117","23.398771979","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.102? Tell 192.168.31.1"
"118","23.501636898","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.103? Tell 192.168.31.1"
"119","23.501658997","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.104? Tell 192.168.31.1"
"120","23.501664579","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.105? Tell 192.168.31.1"
"121","23.501669844","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.106? Tell 192.168.31.1"
"122","23.501675174","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.107? Tell 192.168.31.1"
"123","23.604204947","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.108? Tell 192.168.31.1"
"124","23.604225035","IntelCor_d4:6f:1b","BeijingX_e6:af:ba","ARP","42","192.168.31.108 is at 44:85:00:d4:6f:1b"
"125","23.604254471","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.109? Tell 192.168.31.1"
"126","23.604262490","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.110? Tell 192.168.31.1"
"127","23.604267907","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.111? Tell 192.168.31.1"
"128","23.604273184","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.112? Tell 192.168.31.1"
"129","23.604278559","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.113? Tell 192.168.31.1"
"130","23.625556155","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.115? Tell 192.168.31.1"
"131","23.645536669","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.116? Tell 192.168.31.1"
"132","23.665584904","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.117? Tell 192.168.31.1"
"133","23.685539314","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.118? Tell 192.168.31.1"
"134","23.707757253","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.119? Tell 192.168.31.1"
"135","23.809045552","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.120? Tell 192.168.31.1"
"136","23.809067965","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.121? Tell 192.168.31.1"
